Tweet-Id,Friends,Tweets,Followers,Verified,Listed,Description,Image,Created,URL,Age,HasURL-TW,HasMedia-Tw,Label
1322331213617635328,40677,42868,83910,0,1152,111,0,Fri May 28 16:19:03 +0000 2010,1,11,1,1,__label1__
1322384382682787842,4,294,5,0,0,0,1,Mon Oct 05 05:22:31 +0000 2020,0,1,1,0,
1322487050017345536,1353,3917,1203,0,68,159,1,Mon Jan 21 18:33:11 +0000 2013,1,8,1,0,
1322781249014919169,220,1172,68,0,0,20,1,Tue Sep 06 06:20:33 +0000 2011,0,10,1,0,
1322969203452878848,4142,732,3990,0,32,160,0,Tue Aug 09 08:13:07 +0000 2016,1,5,1,0,
1322986041352036358,0,1265499,13248,0,241,168,1,Fri May 24 09:27:42 +0000 2019,0,2,1,0,
1323070614433914881,1035,3141,466,0,31,149,0,Fri May 24 02:51:29 +0000 2013,1,8,1,0,
1323112202237214721,1,37,0,0,0,2,1,Thu Oct 29 06:08:37 +0000 2020,0,1,1,0,
1323114688624783361,4,294,5,0,0,0,1,Mon Oct 05 05:22:31 +0000 2020,0,1,1,1,
1323123359912091648,1,37,0,0,0,2,1,Thu Oct 29 06:08:37 +0000 2020,0,1,1,0,__label3__
1323339845566038018,850,83885,15000,0,1209,106,0,Mon Nov 05 17:56:51 +0000 2007,1,14,0,1,
1323358587792470016,18,128,9,0,0,125,1,Fri May 22 09:38:15 +0000 2020,1,1,1,0,
1323362136739835904,2036,26132,1089619,1,1584,51,0,Tue Mar 13 00:09:22 +0000 2012,1,9,1,0,__label1__
1323619219779575808,546,265,137,0,3,11,0,Sun May 03 09:13:44 +0000 2009,1,12,0,0,
1323623554999447557,450,888,870,0,46,135,1,Wed Apr 15 21:54:35 +0000 2009,1,12,1,0,__label3__
1323630942863335425,191,18982,733,0,12,118,0,Tue Nov 24 00:32:48 +0000 2009,0,12,0,1,
1323633427552313349,28,5917,200,0,3,27,0,Tue Sep 15 12:24:25 +0000 2015,0,6,1,0,
1323703852642783238,205,1503,186,0,7,124,0,Thu Apr 19 10:49:46 +0000 2012,1,9,1,1,__label3__
1323822335640612864,1865,8409,1125,0,33,152,1,Thu May 30 09:57:09 +0000 2013,1,8,0,1,
1323847798022811648,357,4452,80,0,1,95,0,Sun Jun 29 02:03:54 +0000 2014,1,7,1,0,
1323988935501062146,1252,29575,623,0,0,0,1,Wed Jul 29 12:45:50 +0000 2020,0,1,1,0,
1324046676403826688,3136,7140,2245,0,243,97,0,Thu Jul 03 17:38:06 +0000 2014,1,7,1,0,
1324070170378338305,119,928,34,0,5,134,1,Sun Aug 24 02:27:29 +0000 2014,1,7,1,0,__label1__
1324086377969905664,7670,114430,8782,0,107,158,1,Tue Feb 07 01:18:37 +0000 2017,1,4,0,1,__label3__
1324163994433679360,4755,1472,1143,0,40,132,0,Tue Nov 08 22:15:40 +0000 2016,1,5,1,0,
1324321899137146882,3,6573,7330,0,65,95,1,Wed Nov 06 11:27:28 +0000 2019,1,2,1,0,__label3__
1324336263823020032,81,15956,336,0,719,80,1,Wed Oct 20 05:08:42 +0000 2010,1,11,0,0,__label1__
